genre,category,title,year,distribution,description,url,cover_photo
Adventure,Hollywood,Incredibles 2,2018,BluRay,"While the Parr family has accepted its collective calling as superheroes, the fact remains that their special heroism is still illegal. After they are arrested after unsuccessfully trying to stop the Underminer, their future seems bleak. However, the wealthy Deavor siblings of Devtech offer new…Tags : sabotage...<more>",https://fzmovies.net/movie-Incredibles%202%20--hmp4.htm,https://fzmovies.net/imdb_images/The.Incredibles.2.2018.jpg
Biography,Hollywood,The Pirates of Somalia,2017,BluRay,"In 2008, rookie journalist Jay Bahadur forms a half-baked plan to embed himself among the pirates of Somalia. He ultimately succeeds in providing the first close-up look into who these men ......<more>",https://fzmovies.net/movie-The%20Pirates%20of%20Somalia--hmp4.htm,https://fzmovies.net/imdb_images/The.Pirates.of.Somalia.2017.jpg
Drama,Hollywood,The Legend of Tarzan,2016,BluRay,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",https://fzmovies.net/movie-The%20Legend%20of%20Tarzan--hmp4.htm,https://fzmovies.net/imdb_images/The.Legend.of.Tarzan.2016.jpg
Crime,Hollywood,Backtrace,2018,BluRay,The lone surviving thief of a violent armored car robbery is sprung from a high security facility and administered an experimental drug.,https://fzmovies.net/movie-Backtrace--hmp4.htm,https://fzmovies.net/imdb_images/Backtrace.2018.jpg
Animation,Hollywood,The Lion King 3,2004,BluRay,"Timon and Pumbaa start to watch the original Lion King movie, but Timon keeps insisting to fast forward to when they come in, because they weren't seen in the beginning of the story or anywhere until halfway through. Pumbaa suggests telling the audience their story, which begins before Simba's journey begins. Through this, we meet Timon's mother and Uncle Max, discover why he left his meerkat colony, where he learned Hakuna Matata, how he meets Pumbaa, and the perils they encountered while searching for their dream home. ...<more>",https://fzmovies.net/movie-The%20Lion%20King%203--hmp4.htm,https://fzmovies.net/imdb_images/The%20Lion%20King%203.jpg
Adventure,Hollywood,Ralph Breaks the Internet,2018,BluRay,"Taking place six years after saving the arcade from Turbo's vengeance, the Sugar Rush arcade cabinet has broken, forcing Ralph and Vanellope to travel to the Internet via the newly-installed Wi-Fi router in Litwak's Arcade to retrieve the piece capable of saving the game. Written by Lucas QuaresmaTags : rabbit...<more>",https://fzmovies.net/movie-Ralph%20Breaks%20the%20Internet--hmp4.htm,https://fzmovies.net/imdb_images/Ralph.Breaks.the.Internet.2018.jpg
Adventure,Hollywood,John Carter,2012,BluRay,"Transplanted to Mars, a Civil War vet discovers a lush planet inhabited by 12-foot tall barbarians. Finding himself a prisoner of these creatures, he escapes, only to encounter a princess who is in desperate need of a savior....<more>",https://fzmovies.net/movie-John%20Carter--hmp4.htm,https://fzmovies.net/imdb_images/John%20Carter.jpg
Animation,Hollywood,Iron Man And Hulk Heroes United,2013,BluRay,Iron Man and the Hulk team up in groundbreaking Marvel CG Animation.,https://fzmovies.net/movie-Iron%20Man%20And%20Hulk%20Heroes%20United--hmp4.htm,https://fzmovies.net/imdb_images/Iron%20Man%20And%20Hulk%20Heroes%20United.jpg
Crime,Hollywood,Half Baked,1997,BluRay,"After Kenny accidentaly kills a cop's diabetic horse by feeding it the food he purchased from a munchie run, he is put in jail and is given a 1 million dollar bail. The rest of the group must bail Kenny out before Nasty Nate gets to him. The group decides to sell marijuana that Thurgood gets through his job as a janitor at a pharmaceutical lab. They become pals with rap star Sir Smoke-A-Lot and the rivals of dealer Samson Simpson. On the side, Thurgood seeks the love of Mary Jane, an anti-pot daughter of a dealer. What follows is typical pothead behaviour with a ton of cameos. Look carefully. ...<more>",https://fzmovies.net/movie-Half%20Baked--hmp4.htm,https://fzmovies.net/imdb_images/Half.Baked98.jpg
Horror,Hollywood,Brightburn,2019,BluRay,"What if a child from another world crash-landed on Earth, but instead of becoming a hero to mankind, he proved to be something far more sinister? Tags : alien | superhero...<more>",https://fzmovies.net/movie-Brightburn--hmp4.htm,https://fzmovies.net/imdb_images/Brightburn.2019.jpg
Romance,Hollywood,About Last Night 2014,2014,BluRay,Follow two couples as they journey from the bar to the bedroom and are eventually put to the test in the real world.,https://fzmovies.net/movie-About%20Last%20Night%202014--hmp4.htm,https://fzmovies.net/imdb_images/About.Last.Night.2014.jpg
Crime,Hollywood,Beverly Hills Cop,1984,BluRay,"Detroit cop Axel Foley is delighted when he receives a surprise visit from his best friend Mikey Tandino, who lives in California. Not long after Mikey arrives in Detroit, Mikey is killed, right in front of Axel, by a man named Zack. Axel follows Zack to Beverly Hills, California, where Beverly Hills police department Lieutenant Andrew Bogomil assigns Detective Billy Rosewood and Rosewood's partner, Sergeant John Taggart, to keep an eye on Axel. Axel visits his friend Jenny Summers, who works in an art gallery. With Jenny's help, Axel discovers that Zack works for Jenny's boss, Victor Maitland, the man who owns the art gallery. Maitland is a drug kingpin who is using the gallery as a front, and Maitland had Zack kill Mikey after Maitland accused Mikey of stealing some of Maitland's bonds. With the help of Jenny, Billy, and Taggart, Axel does what he can to make sure Maitland and Zack won't kill any more people. ...<more>",https://fzmovies.net/movie-Beverly%20Hills%20Cop--hmp4.htm,https://fzmovies.net/imdb_images/Beverly%20Hills%20Cop.jpg
Romance,Hollywood,Shotgun Wedding,2023,BluRay,Darcy and Tom gather their families for the ultimate destination wedding but when the entire wedding party is taken hostage the bride and groom must save their loved ones--if they don't kill each other first.Tags : love | wedding | fight | hostage | couple...<more>,https://fzmovies.net/movie-Shotgun%20Wedding--hmp4.htm,https://fzmovies.net/imdb_images/Shotgun.Wedding.2022.jpg
Adventure,Hollywood,The Last Airbender,2010,BluRay,"The world is divided into four kingdoms, each represented by the element they harness, and peace has lasted throughout the realms of Water, Air, Earth, and Fire under the supervision of the Avatar, a link to the spirit world and the only being capable of mastering the use of all four elements. When…Tags : weapon...<more>",https://fzmovies.net/movie-The%20Last%20Airbender--hmp4.htm,https://fzmovies.net/imdb_images/The.Last.Airbender.2010.jpg
Crime,Hollywood,Narco Sub,2021,WEB-DL,"The Colombian cartel runs a mission through Mexico to deliver cocaine into the United States while holding two young hostages. Their plan is exposed when a former Navy SEAL helps the DEA and Border Patrol rescue the two girls. When the cartel leader hears word of their capture, he plans to kidnap…Tags : navy...<more>",https://fzmovies.net/movie-Narco%20Sub--hmp4.htm,https://fzmovies.net/imdb_images/Narco.Sub.2021.jpg
Biography,Hollywood,Mary Queen of Scots,2018,BluRay,"Mary Queen of Scots explores the turbulent life of the charismatic Mary Stuart. Queen of France at 16 and widowed at 18, Mary defies pressure to remarry. Instead, she returns to her native Scotland to reclaim her rightful throne. But Scotland and England fall under the rule of the compelling…Tags : prison...<more>",https://fzmovies.net/movie-Mary%20Queen%20of%20Scots--hmp4.htm,https://fzmovies.net/imdb_images/Mary.Queen.of.Scots.2018.jpg
Crime,Hollywood,Furies,2023,WEBRip,A mysterious woman trains a trio of girls to take revenge on a criminal gang that abuses females. The three lady warriors risk everything to challenge this corrupt empire.Tags : character name as title | martial arts | criminal | female protagonist...<more>,https://fzmovies.net/movie-Furies--hmp4.htm,https://fzmovies.net/imdb_images/Furies.2023.jpg
Comedy,Hollywood,Sing 2016,2016,BluRay,A koala named Buster Moon has one final chance to restore his theater to its former glory by producing the world's greatest singing competition.,https://fzmovies.net/movie-Sing%202016--hmp4.htm,https://fzmovies.net/imdb_images/Sing.2016.jpg
Animation,Hollywood,Stolen princess,2018,BluRay,"This wonderful story happened in the age of valiant knights, beautiful princesses, and battling sorcerers. Ruslan, a wandering artist dreaming to become a knight, met beautiful Mila and fell in love with her; he didn't even suspect that she is the King's daughter. However, the lovers' happiness…...<more>",https://fzmovies.net/movie-Stolen%20princess--hmp4.htm,https://fzmovies.net/imdb_images/The.Stolen.Princess.2018.jpg
Horror,Hollywood,Halloween 2018,2018,BluRay,"Laurie Strode comes to her final confrontation with Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago....<more>",https://fzmovies.net/movie-Halloween%202018--hmp4.htm,https://fzmovies.net/imdb_images/Halloween.2018.jpg
Crime,Hollywood,The Out Laws,2023,BluRay,"A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws.Tags : gun | love | thief...<more>",https://fzmovies.net/movie-The%20Out%20Laws--hmp4.htm,https://fzmovies.net/imdb_images/The.Out.Laws.2023.jpg
Animation,Hollywood,PAW Patrol The Movie,2021,BRRip,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.Tags : dog...<more>,https://fzmovies.net/movie-PAW%20Patrol%20The%20Movie--hmp4.htm,https://fzmovies.net/imdb_images/PAW.Patrol.The.Movie.2021.jpg
Biography,Hollywood,The Professor and the Madman,2019,BluRay,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor. ...<more>",https://fzmovies.net/movie-The%20Professor%20and%20the%20Madman--hmp4.htm,https://fzmovies.net/imdb_images/The.Professor.and.the.Madman.2019.jpg
Animation,Hollywood,Penguins of Madagascar,2014,BluRay,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it....<more>",https://fzmovies.net/movie-Penguins%20of%20Madagascar--hmp4.htm,https://fzmovies.net/imdb_images/enguins.of.Madagascar.2014.jpg
Romance,Hollywood,A Walk to Remember,2002,BluRay,"In Beaufort, North Carolina, a prank on a student goes terribly wrong and puts the student in the hospital. Landon Carter, a popular student with no defined plans for the future, is held responsible and forced to participate in after-school community service activities as punishment, which include starring as the lead in the school play. Also participating in these activities is Jamie Sullivan, the reverend's daughter who has great ambitions and nothing in common with Landon. When Landon decides he wants to take his activities seriously, he asks Jamie for help and begins to spend most of his time with her. But he starts to develop strong feelings for her, something he did not expect to do. The two start a relationship, much to the chagrin of Landon's old popular friends and Jamie's strict reverend father. But when a heart-breaking secret becomes known that puts their relationship to the test, it is then that Landon and Jamie realize the true meaning of love and fate. ...<more>",https://fzmovies.net/movie-A%20Walk%20to%20Remember--hmp4.htm,https://fzmovies.net/imdb_images/A%20Walk%20to%20Remember.jpg
Biography,Hollywood,Lawrence of Arabia,1962,BluRay,"An inordinately complex man who has been labeled everything from hero, to charlatan, to sadist, Thomas Edward Lawrence blazed his way to glory in the Arabian desert, then sought anonymity as a common soldier under an assumed name. The story opens with the death of Lawrence in a motorcycle accident in Dorset at the age of 46, then flashbacks to recount his adventures: as a young intelligence officer in Cairo in 1916, he is given leave to investigate the progress of the Arab revolt against the Turks in World War I. In the desert, he organizes a guerrilla army and--for two years--leads the Arabs in harassing the Turks with desert raids, train-wrecking and camel attacks. Eventually, he leads his army northward and helps a British General destroy the power of the Ottoman Empire. ...<more>",https://fzmovies.net/movie-Lawrence%20of%20Arabia--hmp4.htm,https://fzmovies.net/imdb_images/Lawrence%20of%20Arabia.jpg
Adventure,Hollywood,Fast X,2023,BluRay,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.Tags : shared universe | home invasion...<more>,https://fzmovies.net/movie-Fast%20X--hmp4.htm,https://fzmovies.net/imdb_images/Fast.X.2023.jpg
Crime,Hollywood,Austin Powers: International Man of Mystery,1997,BluRay,"Austin Powers is a 60's spy who is cryonically frozen and released in the 1990's. The world is a very different place for Powers. Unfortunately for Austin, everyone is no longer sex-mad. Although he may be in a different decade, his mission is still the same. He has teamed up with Vanessa Kensington to stop the evil Dr. Evil, who was also frozen in the past. Dr. Evil stole a nuclear weapon and is demanding a payment of (when he realises its the 90's) 100 billion dollars. Can Austin Powers stop this madman? or will he caught up with Evil's henchman, with names like Alotta Fagina and Random Task? Only time will tell! ...<more>",https://fzmovies.net/movie-Austin%20Powers:%20International%20Man%20of%20Mystery--hmp4.htm,https://fzmovies.net/imdb_images/Austin%20Powers:%20International%20Man%20of%20Mystery.jpg
Adventure,Hollywood,Spider Man Across the Spider Verse,2023,BluRay,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a ...Tags : marvel comics | based on comic | second part | superhero...<more>",https://fzmovies.net/movie-Spider%20Man%20Across%20the%20Spider%20Verse--hmp4.htm,https://fzmovies.net/imdb_images/Spider.Man.Across.the.Spider.Verse.2023.jpg
Adventure,Hollywood,Kingsman Services secrets,2014,BluRay,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius....<more>",https://fzmovies.net/movie-Kingsman%20Services%20secrets--hmp4.htm,https://fzmovies.net/imdb_images/Kingsman.The.Secret.Service.2014.jpg
Drama,Hollywood,The Jungle Book,2016,BluRay,"The man-cub Mowgli flees the jungle after a threat from the tiger Shere Khan. Guided by Bagheera the panther and the bear Baloo, Mowgli embarks on a journey of self-discovery, though he also meets creatures who don't have his best interests at heart....<more>",https://fzmovies.net/movie-The%20Jungle%20Book%20--hmp4.htm,https://fzmovies.net/imdb_images/The.Jungle.Book.2016.jpg
Adventure,Hollywood,How to Train Your Dragon 2,2014,BluRay,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace....<more>",https://fzmovies.net/movie-How%20to%20Train%20Your%20Dragon%202--hmp4.htm,https://fzmovies.net/imdb_images/How.to.Train.Your.Dragon.2.2014.jpg
Drama,Hollywood,Instant Family,2018,BluRay,A couple find themselves in over their heads when they foster three children.Tags : adoption...<more>,https://fzmovies.net/movie-Instant%20Family--hmp4.htm,https://fzmovies.net/imdb_images/Instant.Family.2018.jpg
Action,Hollywood,Sniper Reloaded 2011,2011,BluRay,The son of a renowned sniper decides to track down the sniper who ambushed his squad when they were sent to rescue a white planter in the Congo.,https://fzmovies.net/movie-Sniper%20Reloaded%202011--hmp4.htm,https://fzmovies.net/imdb_images/Sniper.Reloaded.2011.jpg
Biography,Hollywood,The Good Nurse,2022,WEB-DL,An infamous caregiver is implicated in the deaths of hundreds of hospital patients.Tags : hospital | murder | criminal | investigation...<more>,https://fzmovies.net/movie-The%20Good%20Nurse--hmp4.htm,https://fzmovies.net/imdb_images/The.Good.Nurse.2022.jpg
Comedy,Hollywood,Sing 2,2021,BluRay,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.Tags : second part...<more>,https://fzmovies.net/movie-Sing%202--hmp4.htm,https://fzmovies.net/imdb_images/Sing.2.2021.jpg
Comedy,Hollywood,Inside Out,2015,BluRay,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house and school....<more>",https://fzmovies.net/movie-Inside%20Out--hmp4.htm,https://fzmovies.net/imdb_images/Inside.Out.2015.jpg
Animation,Hollywood,Batman The Killing Joke,2016,BluRay,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness. ...<more>",https://fzmovies.net/movie-Batman%20The%20Killing%20Joke--hmp4.htm,https://fzmovies.net/imdb_images/Batman.The.Killing.Joke.2016.jpg
Comedy,Hollywood,Think Like a Man,2012,BluRay,"Four women have given up on getting their men to do what they want until they find a how to book written by Steve Harvey. They start using his advice about relationships, and their men start falling in line, until the men discover what the women have been doing, then the war is on. ...<more>",https://fzmovies.net/movie-Think%20Like%20a%20Man--hmp4.htm,https://fzmovies.net/imdb_images/Think%20Like%20a%20Man.jpg
Animation,Hollywood,Rumble,2021,BluRay,"In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father's footsteps by coaching a loveable underdog monster into a champion.Tags : cgi animation | monster | one word title...<more>",https://fzmovies.net/movie-Rumble--hmp4.htm,https://fzmovies.net/imdb_images/Rumble.2021.jpg
Biography,Hollywood,Official Secrets,2019,BluRay,"A morality tale for the 21st century, Official Secrets tells the true story of British Intelligence whistle-blower Katharine Gun who, during the immediate run-up to the 2003 Iraq invasion, leaked a top secret NSA memo exposing a joint US-UK illegal spying operation against members of the UN…...<more>",https://fzmovies.net/movie-Official%20Secrets--hmp4.htm,https://fzmovies.net/imdb_images/Official.Secrets.2019.jpg
Family,Hollywood,Madagascar 3 Europes Most Wanted,2012,BluRay,"Alex, Marty, Gloria and Melman are still trying to get back to the Big Apple and their beloved Central Park zoo, but first they need to find the penguins. They travel to Monte Carlo where they attract the attention of Animal Control after gate crashing a party and are joined by the penguins, King Julian and Co., the monkeys and a new arrival: a performing llama. How do a lion, zebra, hippo, giraffe, four penguins, two monkeys, three lemurs and a llama travel through Europe without attracting attention? They join a traveling circus. ...<more>",https://fzmovies.net/movie-Madagascar%203%20Europes%20Most%20Wanted--hmp4.htm,https://fzmovies.net/imdb_images/Madagascar%203%20Europes%20Most%20Wanted.jpg
Animation,Hollywood,Spirited Away 2001,2001,BluRay,"Chihiro and her family are on their way to their new house in the suburbs when her father decides to take a shortcut along a lonely-looking dirt road. After getting out of the car and walking along a path for a while, they discover an open-air restaurant filled with food but with no workers or customers present. Mom and Dad don't hesitate to sit down and dig in, but Chihiro senses danger and refuses. As night falls, she is terrified to see the area fill with faceless spirits, but when she runs to find her parents, she discovers that they have been turned into pigs. She is found by a mysterious boy named Haku, who promises to help her. He gets her a job working in a nearby building, which turns out to be a bathhouse for the thousands of Japan's gods and spirits. Though the work is hard and the people strange, she does as well as she can. Her parents, however, are still waiting in the hotel's stockyard, and Chihiro must find a way to break the spell on them before they end up as the main course of some guest's dinner. ...<more>",https://fzmovies.net/movie-Spirited%20Away%202001--hmp4.htm,https://fzmovies.net/imdb_images/Spirited%20Away.jpg
Animation,Hollywood,"Monsters, Inc.",2001,BluRay,"In a city of monsters with no humans called Monstropolis centers around Monsters, Inc., the city's power company. Monsters, Inc. The lovable confidant, tough large, furry blue behemoth-like giant monster named James P. Sullivan (A.K.A. better known as Sulley) and his Cyclops wisecracking best friend short, green monster with one large eye, Mike Wazowski discover what happens when the real world interacts with theirs in the form of a 2-year-old baby girl dubbed ""Boo,"" who accidentally sneaks into the monster world with Sulley one night. And now it's up to Sulley and Mike to send Boo back in her door before anybody and especially two evil villains such as Sulley's main rival as a scarer chameleon-like Randall(a monster that Boo is very afraid of), who possesses the ability to change the color of his skin and Mike and Sulley's boss Mr. Waternoose the chairman and chief executive officer of Monsters, Inc. ...<more>","https://fzmovies.net/movie-Monsters,%20Inc.--hmp4.htm","https://fzmovies.net/imdb_images/Monsters,%20Inc..jpg"
Adventure,Hollywood,X-Men Days of Future Past,2014,BluRay,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,https://fzmovies.net/movie-X-Men%20Days%20of%20Future%20Past--hmp4.htm,https://fzmovies.net/imdb_images/X-Men.Days.of.Future.Past.2014.jpg
